date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:32:46	215/215	---M--	200	added ('OK')	image/png	etag:%2263335fb8-d7%22	https://devs.budpay.com/img/side-nav/home.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/side-nav/home.png	(from https://devs.budpay.com/server-to-server)
07:32:46	308/308	---M--	200	added ('OK')	image/png	etag:%2263335fb8-134%22	https://devs.budpay.com/img/side-nav/briefcase.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/side-nav/briefcase.png	(from https://devs.budpay.com/server-to-server)
07:32:46	46024/46024	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:47%20GMT	https://devs.budpay.com/authentication	C:/My%20Web%20Sites/buds2s/devs.budpay.com/authentication.html	(from https://devs.budpay.com/server-to-server)
07:32:46	42741/42741	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:47%20GMT	https://devs.budpay.com/test-cards	C:/My%20Web%20Sites/buds2s/devs.budpay.com/test-cards.html	(from https://devs.budpay.com/server-to-server)
07:32:47	40425/40425	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:47%20GMT	https://devs.budpay.com/test-banks	C:/My%20Web%20Sites/buds2s/devs.budpay.com/test-banks.html	(from https://devs.budpay.com/server-to-server)
07:32:47	40347/40347	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:48%20GMT	https://devs.budpay.com/test-ussd	C:/My%20Web%20Sites/buds2s/devs.budpay.com/test-ussd.html	(from https://devs.budpay.com/server-to-server)
07:32:47	44737/44737	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:48%20GMT	https://devs.budpay.com/test-numbers	C:/My%20Web%20Sites/buds2s/devs.budpay.com/test-numbers.html	(from https://devs.budpay.com/server-to-server)
07:32:48	12622/12622	---M--	200	added ('OK')	image/png	etag:%22633f6738-314e%22	https://devs.budpay.com/img/card-payment.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/card-payment.png	(from https://devs.budpay.com/server-to-server)
07:32:48	48870/48870	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:49%20GMT	https://devs.budpay.com/inline-checkout	C:/My%20Web%20Sites/buds2s/devs.budpay.com/inline-checkout.html	(from https://devs.budpay.com/server-to-server)
07:32:48	46256/46256	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:49%20GMT	https://devs.budpay.com/standard-checkout	C:/My%20Web%20Sites/buds2s/devs.budpay.com/standard-checkout.html	(from https://devs.budpay.com/server-to-server)
07:32:49	46294/46294	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:49%20GMT	https://devs.budpay.com/server-to-server-bank-transfer-checkout	C:/My%20Web%20Sites/buds2s/devs.budpay.com/server-to-server-bank-transfer-checkout.html	(from https://devs.budpay.com/server-to-server)
07:32:49	54889/54889	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:50%20GMT	https://devs.budpay.com/server-to-server-v2	C:/My%20Web%20Sites/buds2s/devs.budpay.com/server-to-server-v2.html	(from https://devs.budpay.com/server-to-server)
07:32:49	46574/46574	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:50%20GMT	https://devs.budpay.com/verify-transaction	C:/My%20Web%20Sites/buds2s/devs.budpay.com/verify-transaction.html	(from https://devs.budpay.com/server-to-server)
07:32:49	65760/65760	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:50%20GMT	https://devs.budpay.com/fetch-transaction	C:/My%20Web%20Sites/buds2s/devs.budpay.com/fetch-transaction.html	(from https://devs.budpay.com/server-to-server)
07:32:50	15896/15896	---M--	200	added ('OK')	image/png	etag:%22633f6738-3e18%22	https://devs.budpay.com/img/debit-card.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/debit-card.png	(from https://devs.budpay.com/server-to-server)
07:32:50	41982/41982	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:51%20GMT	https://devs.budpay.com/cards	C:/My%20Web%20Sites/buds2s/devs.budpay.com/cards.html	(from https://devs.budpay.com/server-to-server)
07:32:51	42079/42079	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:51%20GMT	https://devs.budpay.com/bank-transfer	C:/My%20Web%20Sites/buds2s/devs.budpay.com/bank-transfer.html	(from https://devs.budpay.com/server-to-server)
07:32:51	42001/42001	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:52%20GMT	https://devs.budpay.com/ussd	C:/My%20Web%20Sites/buds2s/devs.budpay.com/ussd.html	(from https://devs.budpay.com/server-to-server)
07:32:51	42160/42160	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:52%20GMT	https://devs.budpay.com/momo	C:/My%20Web%20Sites/buds2s/devs.budpay.com/momo.html	(from https://devs.budpay.com/server-to-server)
07:32:52	11851/11851	---M--	200	added ('OK')	image/png	etag:%22633f6738-2e4b%22	https://devs.budpay.com/img/gateway.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/gateway.png	(from https://devs.budpay.com/server-to-server)
07:32:52	45471/45471	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:53%20GMT	https://devs.budpay.com/request-payment	C:/My%20Web%20Sites/buds2s/devs.budpay.com/request-payment.html	(from https://devs.budpay.com/server-to-server)
07:32:52	45888/45888	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:53%20GMT	https://devs.budpay.com/create-payment-link	C:/My%20Web%20Sites/buds2s/devs.budpay.com/create-payment-link.html	(from https://devs.budpay.com/server-to-server)
07:32:53	47656/47656	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:53%20GMT	https://devs.budpay.com/create-invoice	C:/My%20Web%20Sites/buds2s/devs.budpay.com/create-invoice.html	(from https://devs.budpay.com/server-to-server)
07:32:53	46966/46966	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:54%20GMT	https://devs.budpay.com/customer	C:/My%20Web%20Sites/buds2s/devs.budpay.com/customer.html	(from https://devs.budpay.com/server-to-server)
07:32:53	64102/64102	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:54%20GMT	https://devs.budpay.com/virtual-account	C:/My%20Web%20Sites/buds2s/devs.budpay.com/virtual-account.html	(from https://devs.budpay.com/server-to-server)
